Título,Vínculo,Fecha,Contenido
Encinas renunciará a la SG para integrarse al equipo de Sheinbaum,https://www.jornada.com.mx/2023/10/19/politica/012n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Alejandro Encinas, subsecretario de Derechos Humanos, Población y Migración, renunciará al cargo en la Secretaría de Gobernación (SG) para integrarse al equipo de la coordinadora nacional de la defensa de la Cuarta Transformación, Claudia Sheinbaum, confirmaron fuentes cercanas al funcionario."
"Astros, con el poderío de Altuve al bate, frena a los Rangers",https://www.jornada.com.mx/2023/10/19/deportes/a11n3dep?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","A José Altuve sólo le basta un par de batazos para confirmarse como protagonista. El venezolano colaboró con un jonrón para que los Astros de Houston, campeones de las Grandes Ligas de Beisbol, reaccionaran en la serie por el campeonato de la Liga Americana y vencieran 8-5 a los Rangers de Texas."
Caen las ventas por falta de seguridad,https://www.jornada.com.mx/2023/10/19/cultura/a02n2cul?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Guanajuato, Gto., Los comerciantes de artesanías del Mercado Hidalgo y de las calles de la ciudad, así como los vendedores de comida y fruta, aseguran que no han visto mejorías en sus ventas luego de la pandemia, aún con el regreso del Festival Internacional Cervantino (FIC) a su formato presencial."
Abraham Nuncio: Élites empresariales y neoholocausto,https://www.jornada.com.mx/2023/10/19/politica/022a2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El Consejo  Coordinador Empresarial del Caribe criticó al gobierno de López Obrador, haciéndose eco de las declaraciones de la embajada de Israel, por no haber tenido una “actitud más firme” ante los actos de Hamas contra la población de Israel. Es una crítica que ha compartido la oposición política –señaladamente PRI y PAN– y que recogieron los negocios periodísticos de mayor tamaño."
Quitar privilegios a la Corte,https://www.jornada.com.mx/2023/10/19/capital/037n4cap?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT",
"EU levanta bloqueo al comercio de petróleo, gas y oro con Venezuela",https://www.jornada.com.mx/2023/10/19/mundo/031n1mun?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Washington. Estados Unidos anunció ayer el levantamiento temporal de las sanciones al petróleo, gas y oro de Venezuela como recompensa por el acuerdo alcanzado con la oposición, pero pide el fin de las inhabilitaciones de políticos y la liberación de los presos políticos."
Vuelve con la roja,https://www.jornada.com.mx/2023/10/19/deportes/a12n4dep?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT",
Decomisan autoridades otro camión con artículos chinos de contrabando,https://www.jornada.com.mx/2023/10/19/capital/037n3cap?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT",En calles del Centro Histórico fue asegurado un camión con siete toneladas de ropa china que no contaba con documentación de ingreso y distribución en el país.
"“Unidad por encima de todo”, pide la coordinadora nacional de la 4T",https://www.jornada.com.mx/2023/10/19/politica/012n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Jiutepec, Mor., La coordinadora nacional de la Cuarta Transformación, Claudia Sheinbaum Pardo, pidió “unidad por encima de todo” a los aspirantes a la candidatura de Morena rumbo a las elecciones de 2024 ."
México ocupa el sitio 7 a escala global como productor de dispositivos médicos,https://www.jornada.com.mx/2023/10/19/politica/021n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La Comisión Federal para la Protección contra Riesgos Sanitarios (Cofepris) libera alrededor de mil 800 registros sanitarios de dispositivos médicos al año y en 2023 la cifra podría llegar a 3 mil, con lo que se recuperarán las cifras de 2018, en un sector que al año produce el equivalente a 17 mil millones de dólares, afirmó Carlos Salazar, director de la Asociación Nacional de Proveedores de la Salud."
Américo Villarreal y Ken Salazar fortalecen la coordinación entre Tamaulipas y EU,https://www.jornada.com.mx/2023/10/19/politica/018n3pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Matamoros, Tamps., El gobernador Américo Villarreal Anaya y el embajador de Estados Unidos en México, Ken Salazar, acordaron seguir trabajando de manera coordinada para atender situaciones en temas de seguridad, flujo migratorio, tráfico de armas, drogas y el fortalecimiento de las relaciones bilaterales que permitan el desarrollo y la integración de las ciudades fronterizas."
Operativo especial en la Basílica por la llegada de 50 mil peregrinos,https://www.jornada.com.mx/2023/10/19/capital/036n3cap?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La alcaldía Gustavo A. Madero puso en marcha el operativo Atlacomulco 2023 ante la llegada de al menos 50 mil feligreses a la Basílica de Guadalupe la madrugada de este jueves, por lo que las autoridades desplegaron 400 servidores públicos y 150 policías."
Ningún problema si una mujer comanda las fuerzas armadas: AMLO,https://www.jornada.com.mx/2023/10/19/politica/012n3pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Ante la posibilidad de que el próximo año lo releve en la Presidencia una mujer, que sería la primera comandanta suprema de las fuerzas armadas, el presidente Andrés Manuel López Obrador aseguró ayer que no habrá ningún problema."
Ricardo Guzmán Wolffer: Estado activo: el conflicto judicial,https://www.jornada.com.mx/2023/10/19/sociedad/039a1soc?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El Estado, integrado por los tres Poderes, genera las normas que regulan la convivencia entre los ciudadanos, las ejecuta y, en caso de que surjan conflictos entre los ciudadanos, cuenta con mecanismos judiciales imparciales que resolverán los conflictos suscitados entre sus ciudadanos, sin tomar partido respecto de ningún plan social."
Grupo México busca negociación con el gobierno: AMLO,https://www.jornada.com.mx/2023/10/19/estados/032n2est?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT",El presidente Andrés Manuel López Obrador celebró ayer que Grupo México busca un acercamiento con el gobierno federal para dialogar sobre la contaminación del río Sonora.
Insta AMLO a cese el fuego,https://www.jornada.com.mx/2023/10/19/politica/009n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El presidente Andrés Manuel López Obrador hizo ayer un llamado al cese el fuego en Israel y la franja de Gaza. “Lamentamos mucho lo que está sucediendo en Israel, en Gaza, y nuestra propuesta es la misma, buscar la paz, el cese el fuego. Ese es el primer paso, que no se siga agrediendo, que se paren las hostilidades, cese el fuego inmediato, ya”, expresó el mandatario en su conferencia de prensa matutina en Palacio Nacional."
Senado aprueba ampliación de atribuciones de la Semar,https://www.jornada.com.mx/2023/10/19/politica/017n3pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El Senado aprobó ayer una reforma que da certeza jurídica a la Secretaría de Marina en su labor de administrar el Corredor Interoceánico –tarea de la que se hizo cargo por instrucciones del jefe del Ejecutivo federal–, al ampliar sus atribuciones de vigilancia."
Fallece piloto de la Carrera Panamericana en San Luis Potosí,https://www.jornada.com.mx/2023/10/19/deportes/a11n2dep?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT",El piloto Carlos Alberto Gordoa falleció en un accidente durante la sexta etapa de la Carrera Panamericana que se realiza en San Luis Potosí.
Avala Senado reforma a la Ley del IMSS para el trabajador informal,https://www.jornada.com.mx/2023/10/19/politica/018n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Por unanimidad, el Senado aprobó ayer una reforma que posibilita a los trabajadores del sector informal y todos los que laboran por su cuenta el acceso a los servicios médicos y las prestaciones económicas del Instituto Mexicano del Seguro Social (IMSS), incluida la pensión, a través de su aseguramiento voluntario y el doble pago de cuotas."
Cobrarán 9% de sus ingresos a concesionarios del sector aéreo,https://www.jornada.com.mx/2023/10/19/economia/027n1eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Morena hizo valer su mayoría en la Cámara de Diputados e introdujo un nuevo artículo en la Ley Federal de Derechos 2024 para que los concesionarios del sector aéreo paguen 9 por ciento anual de sus ingresos brutos, con el propósito de financiar, a través de un nuevo fideicomiso, el sistema aeroportuario que administra el Ejército, a pesar del reclamo de la oposición porque no formaba parte del dictamen a discusión."
Julio Hernández López: Astillero,https://www.jornada.com.mx/2023/10/19/opinion/016o1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Ayer, a las  10 de la mañana con nueve minutos, Claudia Schein-baum escribió en su cuenta de X, antes Twitter: “...platiqué con Alejandro Encinas, compañero de lucha de hace muchos años. Lo invité a que nos apoyara en el proceso que se avecina y aceptó gustosamente”. El martes, a su vez, a las 17:12, el todavía subsecretario de Gobernación había recurrido a la misma plataforma de Internet: “Hacemos público un adendum al informe de la #ComisiónAyotzinpa ( sic) Conócelo”."
AMLO celebra la redistribución de los Libros de Texto Gratuitos en Chihuahua,https://www.jornada.com.mx/2023/10/19/politica/020n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El presidente Andrés Manuel López Obrador celebró que, pese a varias intentos para evitarlo, comenzó la distribución de los Libros de Texto Gratuitos (LTG) en Chihuahua, proceso que se frenó por el amparo interpuesto por la gobernadora María Eugenia Campos y la Asociación Estatal de Padres de Familia."
Evacuan Palacio de Versalles por tercera vez,https://www.jornada.com.mx/2023/10/19/politica/009n3pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","París. El Palacio de Versalles y tres aeropuertos de Francia fueron evacuados por motivos de seguridad y cerrados temporalmente ayer, parte de una serie de evacuaciones en los últimos cinco días en este país europeo, al tiempo que un edificio que alberga un centro comunitario judío y una sinagoga en Alemania fue blanco de un ataque incendiario, sin que reportaran heridos."
Defensores de pueblos que querían ocupar edificio público chocan con policías en el Centro,https://www.jornada.com.mx/2023/10/19/capital/036n1cap?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Manifestantes que están en contra del Sistema de Registro y Documentación de Pueblos y Barrios Originarios que establece la Constitución Política capitalina se enfrentaron con policías tras intentar ocupar un edificio público en Fray Servando Teresa de Mier 198, en el Centro Histórico."
Peso y BMV cerraron a la baja por segunda jornada al hilo,https://www.jornada.com.mx/2023/10/19/economia/028n2eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El peso cerró la sesión de este miércoles con una depreciación de 1.32 por ciento o 23.9 centavos, para cotizar en 18.25 pesos por dólar. El tipo de cambio tocó a lo largo del día un mínimo de 17.9625 y un máximo de 18.3085 pesos por dólar, según datos del Banco de México."
"Senado revisará gastos de Armenta, “de un millón al mes”",https://www.jornada.com.mx/2023/10/19/politica/014n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El Senado revisará los gastos del anterior presidente de la mesa directiva, Alejandro Armenta, luego de que el Grupo Plural pidió a la presidencia de la cámara un informe detallado y exhaustivo del gasto corriente que efectuó el morenista cuando estuvo en el cargo entre septiembre de 2022 y agosto de 2023."
"Carlos Slim, galardonado en España con el Premio Enrique V. Iglesias",https://www.jornada.com.mx/2023/10/19/economia/026n1eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Madrid. El presidente y propietario del Grupo Carso, Carlos Slim Helú, se hizo acreedor al prestigioso Premio Enrique V. Iglesias, que entrega cada año el Consejo Empresarial Alianza por Iberoamérica (Ceapi) por su contribución al “crecimiento económico y empresarial, a la generación de empleo y al acercamiento de las relaciones entre los países de Iberoamérica”."
Despenaliza la SCJN el aborto voluntario en Chihuahua,https://www.jornada.com.mx/2023/10/19/estados/033n3est?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La Suprema Corte de Justicia de la Nación (SCJN) declaró inconstitucionales los artículos del Código Penal de Chihuahua que penalizaban con hasta tres años de cárcel a quien recurriera al aborto voluntario. El fallo señala que cualquier mujer, por el solo hecho de serlo, tiene interés legítimo para impugnar por la vía legal normas como estas. Con el único voto en contra del ministro Mario Pardo Rebolledo, la primera sala del máximo tribunal aprobó el proyecto presentado por el ministro Juan Luis González Alcántara Carrancá, basado en precedentes similares, en los cuales se ha señalado que penalizar el aborto voluntario en cualquiera de sus hipótesis vulnera el derecho de las mujeres a la salud, la igualdad y la no discriminación. La sentencia revocó la decisión de un juzgado que había rechazado el amparo con el argumento de que la quejosa, por no estar embarazada ni acusada de abortar, carecía de interés legítimo para impugnar el Código Penal. El fallo reconoce que no es necesario que a una mujer se le niegue el acceso al aborto o sea acusada con base en los artículos invalidados para que se reconozca su derecho a impugnar las leyes contra la interrupción voluntaria del embarazo. Horas antes acudieron a la SCJN miembros de la organización Actívate, quienes entregaron firmas pidiendo a los ministros votar en contra de la despenalización."
Países con mayoría musulmana se retiran de la Feria del Libro de Fráncfort por considerarla “pro israelí”,https://www.jornada.com.mx/2023/10/19/cultura/a04n2cul?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Madrid. El conflicto armado que tiene lugar entre Israel y Hamas ha golpeado la Feria del Libro de Fráncfort (Alemania) tras la decisión de varios países de mayoría musulmana (Indonesia, Emiratos Árabes Unidos o Egipto) de retirarse del evento por la postura “pro israelí” de la dirección del encuentro librero, según informó el medio alemán Deutsche Welle."
Empresarios y ultras toman el control de la SCJ de EU,https://www.jornada.com.mx/2023/10/19/mundo/029n1mun?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Washington y Nueva York. Un grupo semisecreto de empresarios y ultraconservadores dedicaron los últimos 40 años a tomar el control de la Suprema Corte para promover exitosamente una agenda derechista, incluyendo una serie de fallos radicales que, entre otras cosas, han anulado el derecho constitucional al aborto, limitado la capacidad del gobierno federal para controlar la contaminación ambiental, debilitado los derechos sindicales, revirtiendo algunos derechos de la comunidad gay y minado leyes diseñadas para garantizar el sufragio efectivo, revirtiendo así algunas de las principales conquistas de movimientos sociales a lo largo de más de medio siglo."
"John Saxe-Fernández: Netanyahu, ¿lo sabía?",https://www.jornada.com.mx/2023/10/19/economia/026a1eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Vivimos una profunda crisis de humanidad en que se gestan espacios de alta criminalidad de Estado dirigidos a la aniquilación de pueblos enteros –limpieza étnica–, una intención genocida que no se oculta, contando con la tolerancia de una irresponsable comunidad política euroestadunidense ."
Analiza Morena si regresa a la Corte ternas para el TEPJF,https://www.jornada.com.mx/2023/10/19/politica/013n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT",Morena en el Senado definirá la próxima semana si regresa a la Corte las dos ternas para elegir a dos magistrados de la sala superior del Tribunal Electoral del Poder Judicial de la Federación (TEPJF).
"“Pecado social y vergüenza”, defender privilegios en el Poder Judicial: AMLO",https://www.jornada.com.mx/2023/10/19/politica/010n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","El presidente Andrés Manuel López Obrador señaló que “es pecado social” y “una vergüenza” defender –incluso en las calles– los privilegios de ministros, magistrados y jueces."
"Murió Carla Bley, compositora genial y militante comunista",https://www.jornada.com.mx/2023/10/19/espectaculos/a07n1esp?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Compositora, directora de orquesta, militante comunista, Carla Bley falleció ayer a los 89 años luego de librar durante una ardua batalla contra el cáncer en el cerebro que le fue diagnosticado en 2018. En cada una de las especialidades en las que hizo historia, fue una artista calificada por los expertos como genial. Fundó y dirigió la Liberation Music Orchestra, célebre por su versión de El pueblo unido, jamás será vencido y sus divertidas sesiones de tango. Su último disco fue recibido como “una obra sublime”, y la tituló en español: Andando el tiempo."
Artistas judíos critican apoyo a Netanyahu,https://www.jornada.com.mx/2023/10/19/politica/006n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Nueva York y Washington. “Mi dolor no es tu arma”, se leía en la sencilla pancarta del actor y guionista Wallace Shawn, mientras daba vueltas frente a la Casa Blanca, en una de las varias acciones de judíos que rechazan la política estadunidense e israelí contra los palestinos en Gaza. Es, también, una de las crecientes expresiones de repudio de escritores, músicos, actores contra las políticas bélicas de Washington y Tel Aviv."
Organizaciones objetan proceso de designación en la Comisión Nacional de Búsqueda,https://www.jornada.com.mx/2023/10/19/politica/016n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Luego de que Secretaría de Gobernación (SG) diera a conocer que recibió 140 propuestas de personas candidatas a ocupar la Comisión Nacional de Búsqueda (CNB), el Movimiento por Nuestros Desaparecidos en México (MNDM) externó su preocupación por las regresiones identificadas en el proceso, ya que “no asegura el perfil más idóneo” para ocupar la titularidad del cargo."
Recuperan 350 de los 2 mil objetos sustraídos del Museo Británico,https://www.jornada.com.mx/2023/10/19/cultura/a05n2cul?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Unos 350 objetos de los 2 mil que fueron sustraídos del Museo Británico fueron localizados ayer, anunció en Londres el presidente de ese centro cultural, George Osborne, durante una audiencia con la Comisión Parlamentaria de Cultura, Medios de Comunicación y Deporte de Inglaterra."
“Nuestra música es una mezcla loca de ritmos y tiene un mensaje de reconciliación”,https://www.jornada.com.mx/2023/10/19/espectaculos/a09n1esp?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","En su primera visita a México, la banda Dubioza Kolektiv, de Bosnia y Herzegovina, llega con gran energía y un sonido inclasificable. “Es una mezcla tan loca que es la peor pesadilla para quienes buscan describir nuestro estilo”."
Enrique Galván Ochoa: Dinero,https://www.jornada.com.mx/2023/10/19/opinion/014o1eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Inopinadamente, el presidente Andrés López Obrador se refirió al levantamiento del EZLN de 1994. Descartó la posibilidad de que ocurra algo así al final de su sexenio. Recordó que se reunió varias veces con el sub Marcos, lamentó que no llamara a la gente a votar por su movimiento. Sostiene AMLO que su gobierno cuenta con el apoyo del pueblo. Sin embargo, también puede ser una maquinación de la derecha. Los ministros de la Suprema Corte aparentemente están detrás de los manifestantes que se han pronunciado en contra de la desaparición de los millonarios fideicomisos. Difícilmente ese movimiento prenderá en el pueblo. Raro es encontrar a un mexicano que no haya sido víctima de la venalidad de los jueces ¿por qué tomarían las calles para apoyarlos? Una de las tres entidades que conforman el Poder Judicial es el Tribunal Federal Electoral. Los ma-gistrados se dicen también afectados por el recorte. Poseen la facultad constitucional de anular una elección como sucedió en Guerrero con el candidato morenista Félix Salgado Macedonio. La presidencial está a la vista. No se necesitaría un levantamiento para asestar desde el Poder Judicial un golpe ¿de Estado? a la 4T."
Plantean alianza educativa escuelas y empresas,https://www.jornada.com.mx/2023/10/19/economia/027n3eco?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Lima. Ante la problemática del empleo juvenil en los países de la Alianza del Pacífico (Chile, México, Perú y Colombia), la formación profesional dual (que se realiza en alternancia entre el centro educativo y la empresa) no sólo reduce el desempleo entre los jóvenes, sino también ayuda a salir de otro gran problema en la región, que es la informalidad, afirmó Paul Garnier, embajador de Suiza en Perú, a La Jornada."
Obra de teatro critica que los niños ya no puedan salir a jugar a las calles,https://www.jornada.com.mx/2023/10/19/cultura/a05n1cul?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La dramaturga y directora escénica Valentina Sierra pertenece a una generación de niños que perdió los espacios públicos, creció jugando en la calle y pateando pelotas en el parque, además de que le gustaba ir a ver los partidos de beisbol de los Diablos Rojos. “De pronto el estadio desapareció y se convirtió en un centro comercial”, por eso, llevar a escena la obra teatral Bolita por favor es un acto de venganza poética, opinó."
Cossío se adelanta y tramita amparo,https://www.jornada.com.mx/2023/10/19/politica/010n3pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Sin que aún lo apruebe el Senado ni lo publique el Diario Oficial de la Federación (DOF), desde ayer el ministro en retiro José Ramón Cossío Díaz informó que inició un juicio de amparo contra la eliminación de 13 fideicomisos del PJF, luego de que la Cámara de Diputados aprobó una reforma para tal fin."
"Gobierno de NL alista la llegada de Tesla, pero la crisis hídrica no cede",https://www.jornada.com.mx/2023/10/19/estados/033n1est?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Monterrey, NL., La crisis hídrica que por segundo año consecutivo padecen la zona metropolitana de Nuevo León y algunos municipios rurales, la cual se acentuó con la fuerte sequía en verano, no cede; las lluvias de octubre apenas incrementaron mínimamente el nivel de las principales presas de la entidad: La Boca, Cerro Prieto y El Cuchillo."
En 98% de las escuelas del centro-sur del país se comen alimentos chatarra,https://www.jornada.com.mx/2023/10/19/politica/020n2pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","En la región centro-sur del país sólo 10 por ciento de las escuelas cuentan con acceso a fuentes seguras de agua potable y bebederos, mientras que en 98 por ciento de los planteles se consumen alimentos chatarra y bebidas azucaradas, alertaron especialistas de El Poder del Consumidor y de la Red por los Derechos de la Infancia en México (Redim)."
Ordena juez separar del cargo al rector de la UAS para investigar desfalcos,https://www.jornada.com.mx/2023/10/19/estados/034n1est?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Mazatlán, Sin., El juez de control Carlos Alberto Herrera instruyó la separación de Jesús Madueña Molina como rector de la Universidad Autónoma de Sinaloa (UAS) y la de los integrantes del comité de adquisiciones a fin de que se realicen las investigaciones complementarias por la compra de tortillas a un costo de 45 millones de pesos que no fueron comprobados."
Reducción en el abasto de agua afectará a medio millón en Iztapalapa,https://www.jornada.com.mx/2023/10/19/capital/037n1cap?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","La reducción en el suministro de agua del sistema Lerma-Cutzamala afectará a medio millón de personas que habitan 50 colonias de la alcaldía Iztapalapa, una cuarta parte de su población, por lo que “nos estamos preparando para enfrentar esta sequía que se prolongará por lo menos cinco meses, hasta finales del primer bimestre del próximo año”, anunció Raúl Basulto Luviano, encargado de despacho de esa demarcación."
Legisladoras de oposición lanzan críticas a Sheinbaum y defienden al Poder Judicial,https://www.jornada.com.mx/2023/10/19/politica/013n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Convocadas para dialogar sobre los 70 años del voto de la mujer, durante un encuentro organizado por el International Women’s Forum (IWF, por sus siglas en inglés), legisladoras de oposición aprovecharon para criticar la reforma aprobada por la Cámara de Diputados que extingue 13 fideicomisos del Poder Judicial de la Federación (PJF)."
Defenderé la autonomía de la UNAM: Patricia Dávila,https://www.jornada.com.mx/2023/10/19/politica/018n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Dispuesta a defender la Universidad Nacional Autónoma de México (UNAM), su autonomía y a toda la comunidad, así como a velar por los valores éticos, la justicia, el respeto, la igualdad de género, la equidad y la inclusión, Patricia Dávila Aranda aseguró que la mejor manera de servir, si llegara a ocupar la rectoría, es trabajando en equipo y escuchando “con respeto y sensibilidad”."
Sindicalizados del PJF estarán en paro hasta el día 24 por los fideicomisos,https://www.jornada.com.mx/2023/10/19/politica/011n1pol?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Trabajadores sindicalizados del Poder Judicial de la Federación (PJF) realizan un paro nacional de labores a partir de hoy y hasta el próximo día 24, luego de que la Cámara de Diputados aprobó la reforma que obliga a la extinción de 13 de 14 de fideicomisos del sector, que concentran 15 mil millones de pesos."
Intentan asesinar a defensor de derechos en Guerrero,https://www.jornada.com.mx/2023/10/19/estados/034n2est?partner=rss,"Thu, 19 Oct 2023 09:33:01 GMT","Chilpancingo, Gro., El sacerdote católico José Filiberto Velázquez Florencio, director del Centro de Derechos de las Víctimas de la Violencia Minerva Bello, sufrió un ataque a balazos la madrugada de ayer cuando salía en su vehículo de la normal de Ayotzinapa, ubicada en el municipio de Tixtla."
